Tagalog,Part of Speech,Definition
mapuluputan,v,be tangled with
mapuna,v,1. notice; observe; 2. find fault with; criticise (US: criticize)
mapunahin,adj,censorious; too ready to find fault
mapundi,v,burn out (as a light bulb)
mapungay,adj,languid; lambent (ref. to the eyes)
mapunit,v,be torn or ripped
mapuno,v,1. be filled; 2. encumber; 3. be suffused; 4. swarm; be crowded
mapuntahan,v,have the chance to go to a certain person or place
mapunyagi,adj,attentive; diligent
mapunyagi,adj,attentive; diligent
mapupungay (na mga mata),n,languid eyes; tender looking
mapuri,v,be praised
mapurol,adj,blunt; dull; not sharp or pointed
mapurol ang isip,comp,dull-minded
mapurol ang ulo,1,adj.; 2. n 1. dull; dull-minded; slow; 2. thick head
mapurol na isip,comp,dull mind
mapusok,adj,1. aggressive; 2. impetuous; 3. very enthusiastic; excited; 4. headlong
mapusok,adv,vehemently; impetuously; ardently
mapuspos,v,be overwhelmed; be submerged completely
mapusuan,v,be enamoured of
mapusyaw,n,canary color; light yellow
maputi,adj,white; fair; light-coloured (US: light-colored)
maputi nang bahagya,adj,whitish; somewhat white
maputi-puti,adj,whitish; somewhat white
maputik,adj,1. muddy; 2. dirty; soiled by mud; 3. covered with slime; sloppy
maputikan,v,be spattered with mud
maputla,adj,1. pale; wan; 2. pallid; 3. faint; 4. sallow
maputol,v,1. be cut off; 2. be disrupted [fig.]
maputukan,v,1. accidentally have an explosive burst on oneself; 2. unexpectedly be held answerable [fig.]
mapuwersa,1,v inf.; 2. adj. 1. be forced; 2. forcible; vigorous
mapuwing,v,"have some dust, etc. in the eyes (temporary blinded)"
marabilya,n,marigold; four o'clock plant
maragdagan,v,"be increased, augmented, etc."
maragsang hangin,comp,impetuous wind
marahan,adj,slow; gentle; soft and slow
marahan,adv,gently; tenderly; softly
marahas,adj,1. violent; 2. highhanded; overbearing; 3. outrageous; bold
marahil,adv,1. probably; likely; 2. maybe; possibly; 3. in all probability
marahuyo,v,"be induced, persuaded or attracted"
marali,n,defamatory criticism or denunciation
maralita,adj,indigent; extremely poor; miserable
maramay,v,"become involved in some crime, etc."
maramdaman,v,be detected; be felt
maramdamin,adj,emotional; irascible; thin-skinned; vulnerable
marami,adj,many; much; ample; multiple
maramihan,v,consider something as too much or many
maramihan,adj,1. in large numbers or amounts; 2. plural [gram.]
maraming alam na gawain,comp,all-round; able to many things (ref. to a person)
maraming alam na gawain,comp,all-round; able to many things (ref. to a person)
maraming alam na laro,comp,all-round; able to many things (ref. to an athlete)
maraming alam na laro,comp,all-round; able to many things (ref. to an athlete)
maraming ginagawa,comp,busy; having plenty to do
maraming mailalaman,adj,capacious; roomy
maraming mailululan,comp,able to contain much; capacious
maraming mukha,comp,many-sided
maraming nalalaman,comp,1. versatile; able to do many things well; 2. well-informed
maraming-marami,adj,profuse; very abundant
maramot,adj,stingy; niggardly; self-centered (US)
maramtan,v,be garbed or clothed
marangal,adj,honest; refined; elegant; polite; reputable; imperial; royal
marangya,adj,very vain; ostentatious; sumptuous; pompous
marapa,v,stumble accidentally; topple
marapat,adj,proper; appropriate; right; deserving
marapatin,v,consider as worthy; deign; condescend; vouchsafe
mararangyang kasuutan,n,finery; showy clothes or ornaments
mararangyang pananamit,n,finery; showy clothes or ornaments
mararating,v,accessible; approachable
marasyunan,v,be able to supply with rations
maratay,v,be confined to bed; be down with some illness
marating,v,"be able to reach a certain distance, height or position"
marawak,adj,immense; vast
marawal,adj,low; unworthy; degraded; ignoble
marawis,adj,full of anguish; anguished
maraya,adj,delusive; misleading; deceptive
marebolkar,v,happen to discover
marekarguhan,v,be made to pay a fine
mareklamo,adj,peevish; complaining; given to complaining
maremata,v,be auctioned off; be lost because of foreclosure
marendi,v,1. become confused; 2. become fatigued
mareparo,v,be noticed
marepaso,v,be able to review
margaha,n,1. volcanic ash; 2. moulding (molding) sand
margarin,n,margarine
margarina,n,margarine
margin,n,margin
marhen,n,margin
marhin,n,margin
marhuya,n,fritter (fruits and other things)
marihuwana,n,marijuana
mariin,adj,emphatic; positive; emphatically
marikakaw,n,tree planted as shade for the cocoa tree; also used as fences/firewood
marikit,adj,beautiful; pretty; splendid; magnificent
marilag,adj,splendid; magnificent; gorgeous; sublime
marimarim,v,1. feel disgust or loathing; 2. be nauseated
marinero,n,sailor; mariner
maringal,adj,glorious; stately; noble; picturesque; proud; solemn
marinig,v,hear; be able to hear
marino,n,mariner; sailor; marine
mariposa,n,butterfly; large moth
mariskal,n,marshall (US: marshal)
marisko,adj,risky; speculative
mariwara,adj,excessively attentive to details
mariwasa,adj,well-to-do; well-off
marka,n,1. brand; trademark; 2. mark (e.g.: on a page); 3. stain; 4. grade; mark
markahan,v,1. mark; check; 2. grade; 3. label; 4. make a mark
marker,n,marker
marko,n,"frame or case (for doors, pictures, etc.)"
marmol,n,marble
marpil,n,ivory
Marso,n,March (the 3rd month)
marsyal,adj,martial
Marte,n,1. Mars (the planet) 2. Mars (Roman God of war)
Martes,n,Tuesday
martilyo,n,hammer
martilyo ng baril,comp,hammer of a gun
martilyuhin,v,hammer; work with a hammer
martines,n,species of talking bird
martinete,n,pile-driver; drop-hammer
martir,n,martyr
martirin,v,martyr
martiryo,n,martyrdom
martsa,n,military march; music for marching
marubdob,adj,ardent; passionate
marugo,adj,gory; bloody
marulas,adj,slippery
marumal,adj,shameful; degraded (morally)
marumat,adj,sluggish in performing a task
marumhan,v,become dirty; be polluted; feel abhorrence for something due to dirtiness
marumi,adj,1. dirty; grimy; filthy; unsanitary; 2. sordid; squalid; obscene
marumi ang isip,comp,malicious; evil-minded; wicked [adj.]
marumihan,v,1. become dirty; be polluted; 2. feel abhorrence for something due to dirtiness
marungis,adj,dirty; stained
marungisan,v,become dirty
marungisan,v,dishonour (US: dishonor); speak evil of; smudge; mark with dirty streaks
marungisan ang puri,v,be dishonoured (US: dishonored) (ref. to a woman)
marunong,adj,learned; wise; intelligent
marupok,adj,1. materially weak; fragile; flimsy; 2. physically or morally weak
marupukan,v,consider something to be weak in structure
maruruming damit,comp,dirty clothes
marusing,adj,"dirty (in the face, on the clothes, etc.)"
maruya,n,fritter (fruits and other things)
maryonet,n,marionette (puppet moved by strings)
mas,adv,more
mas maliit,comp,lesser; smaller; minor
masa,n,1. dough; mash; paste; 2. mass of matter (physics term); 3. mass of people
masabaw,adj,with much broth
masabay,v,occur at the same time as something else
masabi,adj,chatty; flippant
masabi,v,1. bring to the attention of; 2. be said to be; be called; 3. remark; comment
masabi,v,be able to tell or say
masabid,v,"happen to get one's feet entangled in a rope, etc."
masabihan,v,1. be able to inform; 2. be able to reprimand
masabit,v,happen to be hooked when falling along
masabit,v,"stay hight up in a place (e.g.: tree), without falling"
masabog,v,"be accidentally scattered around (grains, salt, sand, or the like)"
masabon,v,1. be able to wash with soap; 2. be scolded or reprimanded [fig.]
masabon,adj,having too much soap; full of soap
masabugan,v,"be able to cover or scatter a place with something, or sow with seeds"
masabuwat,v,be able to convince someone to be an accomplice in a conspiracy
masabuyan,v,1. splash; 2. throw water on; 3. dash; throw; 4. slop
masabwat,v,be able to convince someone to be an accomplice in a conspiracy
masadlak,v,slump; fall; collapse
masadsad,v,be stranded; be grounded
masagabal,adj,burdensome; cumbersome; full of obstacles
masagal,adj,awkward; clumsy
masagana,adj,plentiful; abundant; prosperous
masaganaan,v,be supplied abundantly
masagap,v,be able to scoop off (as scum from a surface)
masagap,v,1. happen to inhale; 2. happen to pick up news or information [fig.]
masagasa,v,be hit or run over by a running vehicle
masagasaan,v,be run over; be trampled on
masagi,v,brush; be touched lightly in passing
masagip,v,be saved from some danger
masaglit,v,be able to get something just for a while
masagot,v,1. be able to solve; 2. be able to guarantee for someone
masagoy,v,be able to touch something lightly with the finger
masagoy,v,happen to be touched lightly
masagupa,v,be able to meet someone in a conflict or fight
masagupa,v,happen to meet (e.g. an enemy)
masagutan,v,be guaranteed; guarantee
masagwa,adj,1. improper; 2. immodest; 3. vulgar; 4. gaudy; 5. mean; 6. tawdry; 7. awkward; 8. rustic
masagwaan,v,"consider as vulgar, immodest or obscene"
masagwil,adj,full of impediments or obstacles
masahe,n,massage
masahihin,v,massage; give massage
masahin,v,knead; work into a mass with hands
masahista,n,masseur (male); masseuse (fem.)
masahod,v,1. be able to catch a falling object; 2. happen to fall into receptacle
masahod,v,be able to receive one's salary
masahog,adj,with many ingredients (esp. in a dish of food)
masahol,adj,worse
masaid,v,be able to consume or eat all
masairan,v,have all one's supplies used up
masaka,v,be able to farm or cultivate
masakal,v,be choked or strangled
masakayan,v,1. be able to ride on a vehicle or animal; 2. be able to understand [fig.]
masakdal,v,be accused in court
masakim,adj,avaricious; covetous; greedy; rapacious; selfish
masakit,adj,painful; hurting; sensitive; sarcastic; sharp
masakit,adj,persevering; diligent; great
masakit na sagot,comp,sharp reply
masakit sa tainga,comp,unpleasant to the ear
masakitin,adj,1. sickly; 2. susceptible to sickness; 3. unhealthy; 4. infirm
masaklap,adj,acrid; disagreeable; offensive; bitter
masaklapan,v,feel the bitterness (of something)
masaklaw,v,1. be covered/included; 2. be subject to
masaklaw,adj,1. comprehensive; 2. general; 3. many-sided; 4. extensive
masaklolohan,v,"be able to give help to someone in distress, or go to the aid of someone in danger"
masakmal,v,be able to grab with the mouth
masakmata,adj,wasteful; prodigal
masakop,v,1. conquer; 2. occupy; 3. seize; 4. set free from sin and it's results
masaksak,v,be stabbed
masaksihan,v,be witnessed; be seen
masaktan,v,1. be hurt (morally); 2. be offended; 3. be injured (physically)
masakuna,adj,"calamitous; full of misfortunes, etc."
masakupan,v,"1. be able to occupy a territory, or the like; 2. be under the jurisdiction of"
masakyan,v,1. be able to ride on a vehicle or animal; 2. be able to understand [fig.]
masala,v,1. be able to filter; 2. be filtered
masalakay,v,be able to invade or attack
masalalay,v,1. hinge on; depend on; 2. rest on
masalampak,v,fall heavily on one's buttocks
masalang,v,be put over a fire or stove (cooking pot)
masalansang,v,be able to oppose or object to
masalanta,v,disable; cripple; maim
masalapi,adj,having much money
masalat,v,be able to find by lightly feeling with hand/fingers
masalaula,v,1. be able to befoul or make filthy; 2. be or become soiled
masali,v,be accepted as participant in game/contest
masalig,v,be based on; be deduced from
masaliksik,v,research; make a research
masalimuot,adj,intricate; perplexing; complicated
masalin,v,"be transferred into another container (liquid, etc.)"
masalinan,v,be able to fill a container with something transferred from another container
masalit,v,be interspersed
masalita,adj,talkative; loquacious; voluble; verbose
masalitan,v,be interspersed
masaliwan,v,be able to accompany someone in singing
masalo,v,"1. be able to catch with the hand(s); 2. fall into a container, etc."
masalok,v,1. be able to scoop up/out with a dipper; 2. be scooped up/out
masalpok,v,be hit; hit; come against with force
masalta,v,be able to climb or go up
masalubong,v,be able to meet on the way
masalubong,v,be met on the way
masalubsob,v,be pierced or hurt by a splinter
masalungat,v,be able to contradict or oppose
masalungat,v,be opposed or contrary to
masama,adj,bad; evil
masama ang ulo,comp,out of humor
masama sa lahat,comp,worst
masamain,v,consider as wrong; decry; condemn
masamang asal,comp,1. misconduct; 2. delinquency
masamang gawa,comp,misdeed; wrongdoing
masamang kapalaran,comp,1. bad fortune; misadventure; bad luck; 2. mischance
masamang palagay,comp,complex; prejudice
masamang pangalan,comp,notoriety (famous for something bad)
masamang panig,comp,the bad side (of a situation)
masamang tao,comp,1. blackguard; scoundrel; 2. perverted person
masamang trabaho,comp,1. carelessness; botch; 2. illegal work
masamang-loob,adj,crook (one belonging to the criminal class) [coll.]
masambit,v,happen to mention or refer to something; happen to be mentioned
masambot,v,"1. be able to catch something; 2. be able to recover, e.g. capital in investment"
masambulat,v,be scattered around accidentally
masamid,v,"be choked by food or liquid (going ""wrong way"")"
masampal,v,be slapped on the face
masamsam,v,be confiscated
masamyo,v,be able to smell the fragrance of something
masamyo,adj,fragrant; sweet-smelling; sweet-scented
masanay,v,1. accommodate; 2. be able to be trained
masandata,adj,armed; well-supplied with arms
masanga,adj,full of branches; having many branches
masangay,adj,with many branches or subsidiaries (company)
masangga,v,"be able to parry off a blow, thrust, etc."
masangguni,v,be able to seek advice of someone
masanghap,v,be inhaled through mouth and nose
masanghid,adj,rank; with a strong disagreeable odour (US: odor)
masangkot,v,be entangled or involved
masangla,v,be mortgaged or pawned
masangsang,adj,sharp or strong in smell but not unpleasant
masanib,v,"1. be overlapped; 2. be joined with (association, etc.)"
masanling,adj,moral
masansala,v,be hindered; be deterred
masapak,v,be broken off (ref. to branches of trees)
masapantaha,v,happen to presume or suspect
masapapel,v,put on paper; put in writing
masapatan,v,meet or satisfy the needs
masapi,v,be attached surface to surface with another thing for reinforcement
masapit,v,1. be able to be reached; 2. be the result of
masapol,v,be able to be present at the very beginning
masapote,v,be able to stack the cards or shuffle them to one's advantage by tricky manipulation
masara,v,be closed
masarahan,v,happen to be closed
masarap,adj,delicious; tasty; savory US: savory); delicate (aroma); enjoyable
masarap magsalita,comp,glib; slick; smooth of speech
masarapan,v,1. enjoy the tastiness; 2. be satisfied with the comfort of something
masarapin,v,be satisfied with
masarhan,v,"have doors, etc. closed against one; be shut out"
masarili,v,monopolize
masasaan,v,bear the brunt of
masasagot,adj,that can be answered
masasakit na salita,comp,biting words
masasaktin,adj,1. sickly; 2. susceptible to sickness; 3. infirm
masasal,adj,intense; fast and strong
masasalakay,adj,vulnerable; open to attack
masasamang-loob,n,criminals; underworld
masauli,v,1. be returned; 2. be put back; 3. be restored
masawain,adj,"ref. to one who easily becomes satiated, etc."
masawan,v,1. be slightly dizzy; 2. be slightly afraid
masawata,v,1. obstruct; prevent; 2. suppress
masaway,v,be able to restrain someone from continuing
masawi,v,1. meet with misfortunes; 2. die
masawsaw,v,"be dipped in water, liquid, etc."
masaya,adj,cheerful; happy about; in good spirits; jubilant
masaya,adv,1. merrily; happily; 2. gladly; 3. cheerfully
masayad,v,"happen to drag on the ground, floor, etc."
masayahan,v,be gladdened; feel exhilarated
masayahin,adj,of cheerful or happy disposition
masayang,v,1. atrophy; waste away; 2. be wasted
masayang lumuksu-lukso,v,frisk; frolic about joyously; dance and skip in play
masayang sumayaw-sayaw,v,frisk; to frolic about joyously; dance and skip in play
masayang-masaya,adj,very happy
masayap,adj,exact; thorough
masayaran,v,be touched by something moving
masayaw,v,be able to dance
masdan,v,look at or observe carefully
masekreto,v,be able to talk secretly with someone
masekreto,adj,secretive; not frank or open
maselan,adj,1. delicate; tender; 2. fastidious; meticulous
maselang,adj,1. delicate; tender; 2. fastidious; meticulous
masentensiyahan,v,be sentenced (legally)
maseta,n,1. small mallet; 2. (small) flowerpot
masetas,n,plants in pots
masetera,n,flowerpot
masiba,adj,gluttonous; voracious
masibilisa,v,become civilized
masid,n,1. stare; careful and searching look; 2. observance; observation
masidhi,adj,efficacious; tenacious; vehement
masidhing kagalakan,comp,rapture
masidhing paghikayat,comp,exhortation; strong urging
masigabong palakpakan,comp,ovation; enthusiastic public welcome
masigasig,adj,diligent; attentive; zealous
masigaw,v,"bark, bawl or shout out something; exclaim"
masigawin,adj,having the habit of shouting
masigid,adj,biting; smarting; stinging (esp. ref. to pain)
masiging,adj,arrogant; presumptuous; proud
masigla,adj,1. ardent; enthusiastic; 2. animated; 3. playful; 4. sprightly; 5. keen
masigla,adv,smartly; briskly; quickly
masiglang-masigla,adj,very lively; high-spirited
masiguro,v,be sure about something
masigwa,adj,tempestuous
masikap,adj,zealous; industrious; diligent
masikhay,adj,diligent; intensive; deep and thorough
masikip,adj,1. crowded; 2. lacking of space; 3. tight; tight-fitting
masikmura,v,be able to stomach; be able to bear [fig.]
masiksik,v,"compress; make compact, etc."
masilab,v,catch on fire; blaze
masilan,adj,fastidious; meticulous
masilaw,v,1. be dazzled; 2. be made to feel inferior [fig.]
masilayan,v,1. get a brief glimpse of; 2. appear briefly
masilong,v,feel inferior; suffer from an inferiority complex
masilungin,adj,suffering from an inferiority complex
masilya,n,putty
masilyahan,v,putty
masimot,v,be able to consume or eat all
masindak,v,be terrified; be stunned; be awestruck
masining,adj,artistic (done with skill and good taste)
masinop,adj,careful; solicitous; frugal
masinsin,adj,thick; thickset; close
masintahin,adj,amorous; inclined to fall in love; affectionate
masintu-sinto,adj,crazy; imbecile
masipag,adj,diligent; active; hard-working; zealous
masipak,v,rend; split; crack
masiphayo,v,oppress; ill-treat; debase; disappoint
masipsip,v,absorb
masira,v,1. spoil; 2. break down; 3. deteriorate; 4. be damaged; 5. be upset
masira ang loob,v,be discouraged
masiraan ng bait,v,lose one's mind
masiraan ng isip,v,lose one's mind
masiraan ng loob,v,1. be discouraged; 2. be daunted; 3. be broken in spirit
masirain,adj,fragile; weak
masisante,v,1. depose; 2. dismiss; sack [coll.]
masisi,v,be culpable or blameworthy
masisi,v,be blamed
masisi ang sarili,v,have oneself to blame
masisingil,v,chargeable (that can be collected)
masisisi,v,culpable; reprehensible
masiste,adj,facetious
masiwal,adj,wicked; perverse; prone to wickedness
masiya,v,approve; be satisfied; be contented
masiyahan,v,approve; be satisfied; be contented
masiyasat,adj,inquisitive; curious; examining carefully
masiyasip,adj,prudent; careful
mask,n,mask (cover/protect the face)
maskada,n,chewing tobacco
maskara,n,mask (cover/protect the face)
maski na,adv,even if; even then; even though
maskot,n,mascot
maskulado,adj,muscular
maso,n,1. mallet; 2. sledge hammer
Mason,n,Mason; Freemason
Masoneria,n,Masonry; Freemasonry
masuag,v,be gored
masuba,v,be swindled or gypped
masubaybayan,v,"keep track of; keep within sight, knowledge or attention"
masubo,v,expose oneself to; become involved in something
masugatan,v,1. be wounded; wound; 2. tear; scratch badly
masugid,adj,active; industrious; diligent
masugpo,v,1. be allayed; be checked; 2. be suppressed
masuhin,v,use a mallet or sledge hammer
masuhulan,v,be bribed
masuka,v,be made to vomit
masukal,adj,"full of rubbish, weed, etc."
masuklam,v,1. abhor; 2. repel; upset
masukol,v,be surrounded or cornered
masukuin,adj,easily surrendering or giving up
masulo,v,be dazzled by strong light
masulukasok,v,1. abhor; 2. repel; upset
masulyapan,v,glimpse; catch a brief view of
masumpungan,v,find accidentally
Masunerya,n,Masonry; Freemasonry
masungit,adj,1. surly; 2. dour; 3. crabbed; ill-tempered
masungko,v,be drafted or conscripted
masunog,v,1. burn; be on fire; 2. catch fire; 3. be ablaze
masunok,v,cloy; weary; tire
masunurin,adj,obedient; dutiful; docile
masuot,v,find oneself involuntarily involved in some trouble or danger
masupil,v,1. be curbed; 2. be controlled or disciplined; 3. be ridden
masupok,v,be burnt to cinders
masurot,adj,infested with bedbugs
masusi,adj,minute; detailed; exact
masusing pag-iisip,comp,deliberation; study; careful thought
masusing paglilimi,comp,calculation; careful thinking/analysing
masustansya,adj,nutritious; healthful
masusukat,adj,measurable; that can be measured
masusumang,adj,disputable; could be opposed
masuwag,v,be butted
masuwayin,adj,defiant; disobedient; insubordinate
masuwerte,adj,lucky
masuya,v,1. feel disgust; 2. be fed up; 3. loathe; 4. have a distaste for
masuyo,adj,obliging; obsequious
masuyong halik,comp,tender kiss
masyado,adj,excessive; excessively; terribly; too; over
masyadong lampas,comp,too excessive
mata,n,1. eye; 2. sight; view; 3. core; center [fig.]
mataas,adj,high; tall; superior; important
Mataas na Kapulungan,comp,Upper House
mataas na lupa,comp,upland; highland
mataas na matematika,comp,higher mathematics [pl]
mataas na papuri,comp,eulogy; speech or writing in praise of a person
mataas na pinuno,comp,dignitary
mataas na presyon (ng dugo),comp,high blood pressure
mataas na tore,comp,steeple; hight tower on a church
mataas na tsimenea,comp,smokestack; tall chimney
mataasan,v,outgrow
mataba,adj,fat; obese; bulky; voluminous
matabak,v,"be wounded by a cutlass, large knife, etc."
matabang,adj,insipid; tasteless
matabang lupa,comp,fertile soil
matabang-mataba,adj,extremely fat
matabang-pandak,adj,pudgy; short and fat
matabas,v,be able to cut out; be cut out
matabil,adj,boastful; talkative
matabsing,adj,saltish; salty; brackish
matabsong,v,sink into deep mud
matabunan,v,be accidentally entombed
matadero,n,slaughterhouse
matador,n,bullfighter
mataga,v,"be cut with a ""bolo"" (long knife)"
matagal,adj,long (time); durable; stable; resisting; tireless; chronic
matagal,adv,all along; long since; long ago
matagalan,v,1. be able to endure; 2. take long (time); 3. withstand
matagihawat,adv,pimply; pimpled
mataginting,adj,sonorous
matagpo,v,happen to find or discover
matagpuan,v,happen to find or discover
matagtag,adj,bumpy; jerky; jolty
matagumpay,adj,1. successful; triumphant; 2. victorious
matagumpay,adv,successfully; with success
matagway,adj,tall and slender
matahan,adj,big-eyed
matahimik,adj,1. quiet; restful; 2. pacific; loving peace
matahin,v,be critical of; look at with critical eyes
mataimtim,adj,fervent; sincere
matakal,v,be able to measure the quantity of liquids or volume of grains
matakasan,v,escape from; be able to escape from
matakaw,adj,1. greedy; voracious; 2. avaricious
matakbo,v,be able to cover a certain distance by running
matakdaan,v,be able to set a limit to
matakid,v,1. trip up; 2. strike one's toe against something
matakot,v,1. be afraid; be scared; 2. be worried or anxious
matakpan,v,1. hide; 2. block; obstruct
mataktika,adj,tactful
matakutin,adj,timorous; excitable
matakwil,v,1. disown; 2. reject; 3. abandon; 4. jilt (in love); 5. deprecate
matalaga,v,foredoom; doom beforehand
matalapyok,v,"stumble, thereby causing one to twist the foot/ankle"
matalas,adj,1. sharp; keen; 2. acute; sharp (ref. to the intellect or hearing)
matalas ang mata,comp,sharp-eyed; eagle-eyed
matalbog,adj,rebounding; leaping; bouncing
matali,v,"1. be tied (with a rope, etc.); 2. be confined (sick in bed)"
matalian,v,bind; oblige by law
matalik,adj,1. close; intimate; 2. trusted; 3. fast; firm
matalikupan,v,be besieged; be surrounded
matalim,adj,sharp or keen (ref. to blades)
matalinghaga,adj,figurative
matalino,adj,1. clever; smart; intelligent; 2. cunning; 3. skillful; 4. wise
matalinong magpasiya,comp,judicious; showing good judgement
matalisik,adj,intellectually very keen; erudite
matalisik na sagot,comp,retort; witty reply
matalisod,v,1. happen to trip over something; 2. make a mistake [fig.]
matalo,v,1. be beaten; 2. lose; 3. be vanquished
matalos,v,1. penetrate; comprehend; 2. be informed; learn
matalsikan,v,"be hit by a splash of water, liquid, mud, etc."
matalurok,adj,very steep; precipitous
matamaan,v,"1. be hit (by bullet, stone, etc.); 2. be struck; be stricken; 3. be won; win"
matamad,v,feel lazy about doing something
matambak,v,"1. be put aside in some place as refuse (US: garbage); 2. become piled up (papers, etc.)"
matambakan,v,1. be filled up; 2. be over-supplied; 3. be overwhelmed with
matambal,v,be paired with someone
matambangan,v,be ambushed
matambok,adj,protuberant; boss
matamis,adj,sweet
matamis-tamis,adj,sweetish; somewhat sweet
matamisan,v,find something sweet to the taste
matamisan,n,any bowl used for desserts (making or eating)
matamisan,n,mutual pleasant relationship among friends
matamisin,v,1. make into a dessert; 2. preserve (fruits); 3. consider something as better
matamlay,adj,languid; feeble; indisposed
matamnan,v,"1. be able to be planted in; 2. be set with jewels, etc."
matamo,v,1. attain; gain; 2. get what belongs to one; 3. reap
matampal,v,be slapped (with open hand)
matampok,v,be featured; be given a prominent part in
matampuhin,adj,extremely sensitive
matampuhin,adj,prone to sulkiness
matanaw,v,look at from distance
matanawan,v,"look at, or view, from distance"
matanda,adj,old; aged; senior
matandaan,v,1. remember; identify; recollect; 2. be mindful of
matandaan,v,be able to mark with a sign
matandaan,1,adj.; 2. n 1. by/of adults; 2. old custom that the parents decide whom to marry
matandain,adj,aging quickly
matandain,adj,having a good or tenacious memory
Matandang Tipan,comp,Old Testament
matanga,v,stare or gape at; look at with amazement
matangay,v,1. be carried away; 2. be carried away with emotions
matanggal,v,1. become detached; 2. be able to detach; 3. be dismissed from one's work
matanggap,v,"(be able to) admit one's fault, etc."
matanggap,v,"happen to be received, admitted, etc."
matanghal,v,"1. be shown, displayed, etc.; 2. become well-known; be in the limelight [fig.]"
matanghalian,v,be delayed in the morning
matanghalianan,v,be delayed in the morning
matangi,prep,except
matangkad at malusog,comp,"strapping; tall, strong and healthy"
matangkad at patpatin,comp,rangy; slender and long-limbed
matangkag,adj,tall and slender
matangkakal,adj,helpful; neighbourly (US: neighborly)
matangos,adj,"long-pointed (nose, peninsula, etc.)"
matanim,v,1. be engrafted; be implanted; 2. be instilled
matanim,adj,well-planted; covered with plants
matanimin,adj,easily offended
matanong,adj,inquisitive
matanto,v,know; realize; be alive to
matanuran,v,be guarded
matanyag,v,"become famous, popular, etc."
matao,adj,1. crowded with people; 2. populous
mataob,v,1. be turned upside down or capsized; 2. become bankrupt (banker in gambling)
mataon,v,happen at the same time as something else
mataos,1,adj.; 2. adv. 1. deep; deep-felt; sincere; 2. sincerely; truly
mataos na pagsisisi,comp,remorse
matapakan,v,be able to step on
matapakan,v,tramp on; step heavily on
matapang,adj,1. brave; bold; 2. fearless; 3. valiant; 4. manly; 5. strong; hard (drink)
matapat,v,1. happen at the same time as something else; 2. happen to suit one's desire
matapat,v,be able to go to a certain place by taking a direct route
matapat,v,be faithful to
matapat,adj,sincere; true; loyal; faithfully
matapilok,v,"stumble, thereby causing one to twist the foot/ankle"
matapobre,n,"ref. to wealthy people who look down on, or oppress the poor"
matapon,v,1. be thrown away; be spilled; 2. be deported
matapos,v,1. be completed; 2. accomplish; 3. end; 4. expire; 5. fall due
matapyas,v,become chipped
matapyok,v,trip oneself; twist one's ankle
mataranta,v,1. be amazed; 2. be confused; 3. be nonplussed
matarik,adj,sloping; steep; abrupt
matarok,v,sound fathom [fig.]; comprehend
matastasan ng tahi,v,drop stitches or threads; ravel
matatag,adj,1. adamant; unyielding; 2. unshaken; firm; 3. immovable; 4. safe
matatahanan,adj,livable; fit to live in
matatakutin,adj,timorous; excitable
matatamo,adj,attainable; that can be achieved
matatandain,adj,having a good or tenacious memory
matatanggap,adj,admissible
matatap,v,1. come to know about something; 2. understand
matatas,adj,facile of diction
matatsa,v,be able to contradict something
matauhan,v,recover consciousness; revive
matauli,adj,competent
mataunan,v,happen to meet someone by chance
matawa,v,laugh (involuntarily from accidental cause)
matawad,v,be able to get a discount in buying something
matawag,v,1. be able to call on someone; 2. be able to call a person by a familiar name
matawid,v,be able to cross or be crossed
matay,idiom,1. however much; 2. try hard; 3. always; repeatedly
mataya,v,"1. be able to place a bet on; 2. put into a certain position (baseball, cricket, etc.)"
matayangkad,adj,tall; long-legged
matayog,adj,elevated; eminent; high
matekas,v,be swindled
matematika,n,mathematics
matematiko,n,mathematician
matepok,v,"be victimized, as by a goon [slang]"
maternal,adj,maternal; motherly
materya,n,matter
materyal,adj,1. material; materials; 2. stuff [coll.]
materyales,n,1. material; materials; 2. stuff [coll.]
materyalismo,n,materialism
materyalista,n,materialist
matibag,v,1. disintegrate; 2. fall as soil in a landslide; become eroded
matibay,adj,1. strong (morally/materially); 3. firm; 4. stable; 5. solid; 6. durable
matigal,adj,inert
matigas,adj,hard; strong; tough; inflexible; inexorable
matigas ang kalooban,comp,obdurate; unbending; firm
matigas ang puso,comp,hardhearted; hard-hearted; callous
matigas ang ulo,comp,1. obstinate; 2. pigheaded; 4. perverse; 5. wilful; 6. unruly
matigatig,v,"be troubled, disturbed or worried"
matigil,v,1. be stopped or suspended; 2. stop; come to an end
matigilan,v,1. falter; 2. be dumbfounded; 3. be transfixed [fig.]
matigmak,v,be saturated thoroughly
matigtig,adj,jerky; jolting
matiis,v,"be able to endure, abide, afford or withstand"
matiisin,adj,1. long-suffering; forbearing; 2. stoical
matikas,adj,elegant; refined
matiklop,v,be able to fold or be folded
matikman,v,experience
matiktikan,v,be detected; be spied on
matikwas,v,be tilted
matilabsikan,v,"become soiled by splashes of liquid, mud, etc."
matilad,v,"be split, splintered or chopped into small pieces"
matilihan,v,stop in amazement; be flabbergasted
matilos,adj,having a sharp point
matimbang,v,1. be weighed; 2. be able to balance
matimbang,adj,1. weighty; heavy; 2. significant; important
matimbuwang,v,fall flat on one's back
matimpi,adj,moderate; discreet; prudent
matimpiin,adj,1. reserved; self-restrained; 2. sober-minded
